phi,Z,Su_m_per_s,n_points,width_m,solve_time_s
0.7,0.03403810285475287,0.19381436208479588,329,0.06,18.16984720000073
0.7291666666666666,0.035616517435893086,0.21707907012588457,339,0.06,4.495277299999543
0.7583333333333333,0.03718978206604985,0.2399359452742929,356,0.06,5.219008400000348
0.7875,0.03875792190857261,0.2620825408662606,372,0.06,4.445378999999775
0.8166666666666667,0.040320961963142055,0.28335526419233975,381,0.06,4.3338932000006025
0.8458333333333332,0.04187892706709867,0.3033919807135394,395,0.06,5.469261300000653
0.875,0.04343184189675828,0.3219311871546574,408,0.06,4.55032940000001
0.9041666666666666,0.0449797309687149,0.33854139376760345,424,0.06,4.805500099999335
0.9333333333333332,0.04652261864113094,0.3529538638970537,440,0.06,4.9106898
0.9624999999999999,0.0480605291150149,0.36492502508912944,443,0.06,5.061945700000251
0.9916666666666666,0.04959348643548675,0.3741768095380924,444,0.06,4.9671675999998115
1.0208333333333333,0.05112151449303107,0.38041277960095926,444,0.06,3.760699499999646
1.0499999999999998,0.052644637024738136,0.3833451878132574,445,0.06,5.089141100000234
1.0791666666666666,0.05416287761553314,0.3826504094022601,447,0.06,4.987554799999998
1.1083333333333332,0.055676259699393445,0.3779839975190812,449,0.06,5.374533499999416
1.1375,0.05718480656055435,0.36903854524443874,454,0.06,5.370406000000003
1.1666666666666665,0.05868854133470319,0.35540116102314845,457,0.06,5.292165200000454
1.1958333333333333,0.06018748701016212,0.3368716002708116,458,0.06,5.26451730000008
1.2249999999999999,0.06168166642905954,0.31331925943125355,469,0.06,6.69427480000013
1.2541666666666664,0.06317110228849036,0.2854350060423678,484,0.06,5.851121300000159
1.2833333333333332,0.06465581714166545,0.25460309333753683,495,0.06,5.7124723999995695
1.3125,0.06613583339904969,0.22277251533689485,507,0.06,5.847905399999945
1.3416666666666666,0.06761117332948978,0.19157997764812384,535,0.06,7.478332300000147
1.3708333333333331,0.06908185906133106,0.16333647025478912,545,0.06,7.757070599999679
1.4,0.07054791258352387,0.14002183889516362,554,0.06,7.790856200000235
