phi,Z,Su_m_per_s,n_points,width_m,solve_time_s
0.7,0.03403810285475287,0.19334033719478905,379,0.06,18.317408400000204
0.7241379310344828,0.035344745111191476,0.21261845854361888,408,0.06,5.345320800000081
0.7482758620689655,0.03664785719184794,0.23171550338383234,440,0.06,5.583500900000217
0.7724137931034483,0.03794745338371909,0.2504784376311903,457,0.06,4.7926557000000685
0.796551724137931,0.03924354789681095,0.26862087324645006,471,0.06,4.825272499999301
0.8206896551724138,0.04053615486465669,0.28601282775295167,478,0.06,4.922498200000518
0.8448275862068966,0.041825288344830326,0.30252120704839663,504,0.06,5.096314600000369
0.8689655172413793,0.043110962319456346,0.31794852771730864,510,0.06,5.20250599999963
0.893103448275862,0.044393190695715214,0.33212945730141197,518,0.06,6.5565802999999505
0.9172413793103448,0.04567198730634486,0.3448991670228175,521,0.06,5.308648500000345
0.9413793103448276,0.046947365910138074,0.3560821784106946,526,0.06,5.420115599999917
0.9655172413793103,0.048219340192435914,0.3655338172440906,529,0.06,5.523175499999525
0.9896551724137931,0.04948792376561732,0.37311483904279985,535,0.06,5.507299599999897
1.013793103448276,0.050753130169584604,0.37866887777433544,535,0.06,4.137920699999995
1.0379310344827586,0.05201497287224519,0.3820088401706259,538,0.06,5.461207700000159
1.0620689655172413,0.05327346526998956,0.3829607557097443,538,0.06,4.166597999999794
1.0862068965517242,0.05452862068816526,0.3813332888799574,538,0.06,4.06541979999929
1.110344827586207,0.055780452381547205,0.3769213120882482,542,0.06,5.526846900000237
1.1344827586206896,0.05702897353480436,0.3695245504544944,544,0.06,5.817739799999799
1.1586206896551723,0.05827419726296252,0.3589738189288081,544,0.06,4.300307399999838
1.182758620689655,0.059516136611863606,0.3451104230313362,546,0.06,5.80286310000065
1.206896551724138,0.060754804558621214,0.32785324322451465,550,0.06,6.512109599999349
1.2310344827586206,0.061990214012072595,0.3073097228539359,565,0.06,8.008307300000524
1.2551724137931033,0.06322237781322722,0.2840269161665528,575,0.06,9.648055399999976
1.2793103448275862,0.06445130873571153,0.2586363264572658,589,0.06,7.792481200000111
1.303448275862069,0.06567701948621038,0.23233377485694326,597,0.06,9.185048400000596
1.3275862068965516,0.06689952270490508,0.20616879810406677,611,0.06,11.7214412000003
1.3517241379310345,0.06811883096590782,0.18119251401134584,629,0.06,12.492572199999813
1.3758620689655172,0.06933495677769279,0.15868279939837615,649,0.06,9.915978400000313
1.4,0.07054791258352387,0.1399389619918292,655,0.06,9.721695700000055
