phi,Su_v2,Su_cantera,Su_error_percent,nodes_v2,nodes_cantera,width_v2_m,width_cantera_m,mass_flow_error_v2,mass_flow_error_cantera,mass_fraction_sum_error_v2,mass_fraction_sum_error_cantera,temperature_l2_dynamic,temperature_linf_K,qdot_l2_relative,qdot_linf_relative
0.7,0.19408598168260796,0.19414279222485192,0.029262246407873695,271,276,0.06,0.06,1.398488932955882e-06,2.19471363524128e-08,4.2613146344905317e-10,1.2510048552627495e-10,0.00011055805697058933,0.7638760528988655,0.0008260917797290159,0.0009358635708989321
0.9,0.3385253943943602,0.33676446250162545,0.522897184475408,254,340,0.03,0.06,1.9400997951232074e-08,2.0747817469365592e-11,8.303491227934501e-11,2.80109269112927e-12,0.0003938666233602304,1.4891407769918032,0.006933323166919959,0.007843613476027812
1.0,0.3782542443421439,0.3765803018983975,0.44451141902744745,264,343,0.03,0.06,1.0965422356474067e-07,8.867796540746618e-09,3.7332381630506006e-10,1.9627510727815434e-10,0.00045586909484799954,2.444452036172379,0.0060232150433582,0.006524262073494024
1.1,0.3815459358612117,0.3799862673189884,0.41045392330297964,274,344,0.03,0.06,2.978292371900781e-07,3.002908873807191e-10,6.593203760729693e-11,1.0683631757046896e-10,0.00035648765106195083,2.3237815100507078,0.005512656209107845,0.006022547293125462
1.4,0.13993756019378023,0.1415197644324679,1.1180093784304397,259,396,0.06,0.06,2.0273648998794355e-08,7.352034349831259e-08,1.525561899029526e-10,1.7058998658114888e-10,0.0014531725322356722,6.40102651864845,0.025165959021224937,0.030202114962022353
