solver,level,nodes,width_m,Su_m_per_s,Su_change_to_ultra_percent,solve_time_s
v2,coarse,109,0.06,0.3860049025615169,2.582442658687687,9.72526310000103
cantera,coarse,105,0.06,0.38731686157002493,2.889166556834552,14.980469699992682
v2,base,150,0.06,0.3810357995375842,1.2618824206309878,9.405569700000342
cantera,base,149,0.06,0.3820550036788267,1.4913751702904205,15.922922900004778
v2,strict,261,0.06,0.3788377358668582,0.6777376624527934,12.814826899993932
cantera,strict,275,0.06,0.3788136782847252,0.6303301153791803,20.152376900005038
v2,ultra,505,0.06,0.37628749380226056,0.0,14.655622300007963
cantera,ultra,517,0.06,0.3764408581889683,0.0,27.694556100002956
