z_m,u_m_per_s,T_K,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0.0,0.41898425320598365,300.0,3.4689180134326593e-11,-7.197535041580172e-17,3.420598338570589e-19,0.22014123767974356,-3.9408270873914803e-16,8.444720200540224e-14,1.3162857229763262e-16,-2.911633626894729e-17,3.560295891677092e-16,1.8365330562148485e-31,4.6133273437351275e-17,8.953766963995531e-33,-6.419840971438045e-16,0.05518666597907939,1.297650646624082e-14,8.087648486324123e-16,-1.0295970336420876e-24,-1.6270055392336575e-17,-2.885033922468548e-34,4.015027166219255e-26,-4.725395892822972e-16,-1.718631787413411e-15,-7.591995203713815e-18,1.2771912836834652e-37,1.2640467292560366e-16,-1.4010639503506963e-26,-1.7298681839565705e-16,-3.491734474001763e-33,-1.876567384923187e-17,-2.3469212064165515e-18,-4.3227058790929305e-16,4.710659965760371e-17,4.5581880978506617e-17,-1.0177164787442615e-16,-1.1819113001415852e-33,-1.15802798229793e-18,-3.2170256390592803e-16,1.7551126366638043e-17,1.3466767851753226e-16,3.3964414397680735e-16,-1.0715037801594651e-15,4.65216305350124e-16,-2.955327060957956e-32,6.828737388963087e-19,4.119668356233575e-20,2.418309183172225e-16,8.980851779585244e-19,0.7246720963063933,-2.2350827252564e-54,8.033946135434257e-18,-3.7289185725811096e-17,-1.071331576387835e-30,3.8185042023218573e-17
0.024,0.4189842776161235,300.0000004728723,4.505792032486022e-09,-2.0650420024511677e-22,2.2744617563425095e-16,0.22014123677980293,-3.007970213516408e-19,3.752969322846949e-11,6.3502245788683e-14,5.941792134750438e-14,5.196747673466636e-23,-1.7981698822758992e-37,3.0755917924496423e-23,1.2050520398260301e-30,9.704739992583594e-16,0.055186665542989,6.282327814583812e-12,5.135348140255913e-13,-6.267159642317464e-22,5.376439908798897e-14,-3.039385370937479e-31,2.0594794473505423e-23,7.886728766954753e-15,-1.0475783065917585e-22,1.5226730871652423e-15,1.101098199124318e-34,1.2142869112230634e-14,-4.791160640266266e-24,1.8070287136281815e-14,-6.845716153517254e-31,4.1792529987526643e-16,-2.110803831646868e-18,-1.8850584502171718e-17,1.6057645885236243e-20,9.886554103462439e-17,-8.971207973846288e-17,-6.670031838630768e-31,-5.609676065070075e-16,1.2722518173934657e-16,1.8392080592641033e-17,1.3567955922385588e-16,5.745954850880797e-23,-1.0449858050068428e-15,4.652472081499234e-16,-2.5701843269305827e-37,1.5958785465100638e-18,5.403793281310237e-20,2.507364852623941e-16,5.49790554598094e-16,0.7246720931268724,-1.0474146488439557e-52,8.04803053639836e-18,7.820846470031387e-18,-8.636960935252847e-28,2.459438714256534e-16
0.036,0.4189855486435953,300.0000797946015,2.2285275517298245e-07,2.9991166068882942e-25,8.768463343052758e-15,0.22014119049015984,5.7937943664650606e-18,6.28318810554925e-09,1.2367905243609515e-11,1.0905894198409076e-11,1.3560074534730878e-29,1.6750469499110487e-40,8.75594924577049e-28,4.513389379819711e-30,2.905071661413663e-13,0.05518664195368029,1.1457765890740276e-09,1.2267852356037523e-10,2.85702180788611e-26,1.3020747680668507e-11,1.3256946934771958e-28,1.3229356053986477e-18,2.0605659006911837e-12,-1.293034184978109e-29,3.467591756980606e-13,1.4012988605182807e-31,2.8270481570300827e-12,-9.983576094786924e-22,4.670007658982692e-12,2.6960586216922533e-27,1.2249074249510397e-13,6.388153432306239e-17,-1.6034150261658405e-18,1.1714234793093147e-23,6.094562571222865e-15,1.9749818117312796e-15,9.686376619922274e-34,4.195653644939705e-14,9.705732613382488e-14,2.205800653117714e-16,3.3003339988538496e-16,1.94688747624067e-29,5.446271055142497e-15,4.729132128258446e-16,3.325891742690486e-40,2.2014006175134127e-16,3.127845111251127e-18,2.3822925886954207e-15,5.558893114298654e-16,0.7246719371049104,-6.381968196238577e-53,1.0181325520569171e-17,1.485221186569839e-14,1.2302193324782365e-24,5.885721452851395e-14
0.03899999999999999,0.41900142524678585,300.00286307538147,2.4762136453593486e-06,2.5288857828972316e-22,2.8368374934791016e-13,0.22014062287810687,6.780061883993938e-16,2.242346455804963e-07,4.788168249669313e-10,4.2480470467926164e-10,1.3384418485466807e-35,-1.1301540177814434e-41,1.9992357381639555e-24,1.9508925377259314e-26,1.0256011887651149e-11,0.05518632191876758,4.444190852475534e-08,6.206009668100901e-09,5.407394111286126e-23,6.665023158589699e-10,3.048834416573398e-25,2.1123015196888497e-15,1.0737846687374756e-10,-5.9863055362689867e-36,1.6624257009866172e-11,8.50464093115908e-28,1.406206335150961e-10,-1.468036565576092e-22,2.519394805258809e-10,4.446294301582897e-24,7.249827584335594e-12,3.916265632186874e-15,1.9849173833670083e-19,2.0249471437539575e-22,1.4753655976776713e-13,7.592012059384544e-14,8.169058848660228e-31,1.6716273765504092e-12,4.4717400941669054e-12,1.0378587351515038e-14,7.754338570900843e-15,2.771331297072124e-35,3.374637318356824e-13,8.686082864051082e-16,-1.7288258243264162e-42,1.1151655102468269e-14,1.5688088775437016e-16,1.0900027172472896e-13,8.602129383635285e-16,0.724670301991042,-4.4229780523221435e-53,1.2918000505762497e-16,1.03471723409479e-12,2.1521000931120067e-21,3.5122989336813737e-12
0.040499999999999994,0.41916338965605565,300.0624086629352,1.721834219956699e-05,1.5654330657942323e-19,4.73184375961184e-12,0.22013482823789238,2.401944851547176e-13,4.864103216894316e-06,1.1255999559009685e-08,1.0044494988944195e-08,2.608830746384285e-41,6.056339941158695e-37,3.8032268442471285e-21,1.496638061454964e-22,2.222040944390895e-10,0.05518268718265146,1.0466928240052115e-06,1.9010478025745023e-07,6.218894911235815e-20,2.06524269810353e-08,1.0169777690607336e-21,1.0249841509926619e-12,3.386548102216527e-09,5.184372788798843e-33,4.82815115392349e-10,8.960201207032521e-24,4.23611425006743e-09,6.178591488115811e-17,8.224644961861606e-09,2.3296483817191858e-21,2.5943082523581845e-10,1.4020197495885572e-13,3.938958077122646e-17,5.1633972948501136e-20,2.199335240280829e-12,1.6907135756587837e-12,5.068695873057354e-28,3.970949384313439e-11,1.2444506478123935e-10,3.201622981670901e-13,1.8037984760021152e-13,2.353843493002384e-33,1.0643572382485635e-11,1.3262224806538487e-14,8.654423241304557e-37,3.4307897553255053e-13,4.825555580632098e-15,3.3463483324553122e-12,1.0061127531854297e-14,0.7246591062124642,-2.7385063205984818e-53,4.9358530210107385e-15,4.3433250271225376e-11,1.0838711462257168e-18,1.268105758749009e-10
0.040874999999999995,0.4196664341350483,300.336183192484,3.9457122944119585e-05,1.0594466542496034e-17,2.0272631918413595e-11,0.2201158839203009,9.755338178930423e-12,2.6110112602874608e-05,6.492814552809082e-08,5.78737906276336e-08,6.945584950011283e-45,5.0868451508099516e-33,6.611602819845617e-19,3.2476063364653194e-20,1.1879089722587604e-09,0.05517063712572269,6.024865368907145e-06,1.3746972335003368e-06,1.1553727112048248e-17,1.5069586819215619e-07,2.745511807799016e-19,4.9083578200838875e-11,2.5126797514011504e-08,1.4887386813031194e-30,3.3314105370581645e-09,2.6074357578047085e-21,3.0183273432873995e-08,1.3584518118263965e-14,6.291781594507435e-08,1.2499791943930436e-19,2.1543071145728396e-09,1.1641141929913534e-12,3.630613902960851e-16,1.4958300344391085e-18,8.69956543083559e-12,9.267915895475406e-12,3.4695873274246377e-26,2.3128215112701504e-10,8.25194498325472e-10,2.332831656095418e-12,1.0406974479632737e-12,6.858380400242262e-31,7.876722375578942e-11,9.590556469417491e-14,7.377009375445107e-33,2.4904991147629245e-12,3.503028617329944e-14,2.4290407985816247e-11,6.93500144196872e-14,0.7246401110144286,-2.0568788481163264e-53,4.8203709317883095e-14,4.1667862182954377e-10,3.380037159419173e-17,1.0614980225198692e-09
0.041249999999999995,0.4230728468690159,302.5037018833318,0.0001063226650318865,1.3392235257569784e-15,1.1601265159939239e-10,0.21997662588997235,3.8644005629107823e-10,0.0001939184257289482,5.239350295371492e-07,4.6517264905055183e-07,2.2754074980068754e-39,9.644772547408712e-29,1.7881533557579524e-16,9.216540684723851e-18,8.497500009142542e-09,0.055088245083874575,4.8461663759002015e-05,1.425539412811619e-05,4.494387591910027e-15,1.5761595361616605e-06,1.138269510992695e-16,2.3900148063154495e-09,2.679659444009339e-07,7.035450870110856e-28,3.280271144297475e-08,1.0987143017168833e-18,3.07911036962553e-07,1.343535336048983e-12,6.941157652407473e-07,3.303331497952394e-17,2.5992322986407135e-08,1.4043777760818722e-11,3.1048733918837834e-15,1.0682577990877139e-16,4.545391025246641e-11,7.051013704813755e-11,4.79981989660284e-24,1.892061661362184e-09,7.765125168465785e-09,2.4395972612889593e-11,8.397844348133709e-12,3.4118840704489464e-28,8.375180160108622e-10,1.024021746666901e-12,1.3362229766619014e-28,2.5936932128153253e-11,3.6482316729567726e-13,2.529656170916526e-10,7.143037837257346e-13,0.7245682356915657,-1.3007584724484816e-53,7.097367651227714e-13,5.88083559528541e-09,2.0784936774606584e-15,1.2919562869261028e-08
0.041437499999999995,0.43284625799006105,309.12199699485916,0.00018935807949561022,3.783782072910698e-14,4.1318057971075827e-10,0.21953905182081102,3.880743086454893e-09,0.0007050132682053544,2.0987662994997054e-06,1.7626325155888022e-06,6.061042964966754e-34,7.219375180084066e-26,6.114970700638103e-15,3.2431154603260394e-16,2.944985058920795e-08,0.05485546191177657,0.00018797483091459813,6.775616032016722e-05,2.124864126569742e-13,7.488436911170297e-06,5.4564146521514026e-15,3.9094314521524525e-08,1.3020038835779344e-06,5.701094393975321e-26,1.4948237735014236e-07,5.883995910339245e-17,1.4436968110093843e-06,4.467350758196828e-11,3.470944068161408e-06,1.7264289378381722e-15,1.3996508737815825e-07,7.561688294972636e-11,1.2476956383152132e-14,4.03364182128259e-15,1.2722587516907987e-10,2.61304792455447e-10,1.7742080360655136e-22,7.778783952823258e-09,3.3507816090237694e-08,1.1676104907502088e-10,3.261009628319372e-11,2.7702655472217936e-26,4.0589110451411625e-09,4.995546344487576e-12,9.690915138986343e-26,1.2371983451610526e-10,1.740236204410894e-12,1.206648688303002e-09,3.4022353911888148e-12,0.7244373015248363,-1.0604355608573228e-53,5.620951742025853e-12,3.6194825103690234e-08,4.5013754261858605e-14,7.009261494750784e-08
0.041624999999999995,0.47312286567656886,336.9992897058341,0.0003490851238051614,2.1110608851877565e-12,2.0491457949889204e-09,0.21757075279568389,3.2681415209511737e-08,0.0028405734902194153,9.779360954810982e-06,7.236835713691156e-06,1.0701187861844203e-28,1.2476362527069593e-22,2.1290091213671055e-13,1.2324892969169128e-14,1.274832668487094e-07,0.05391721870965016,0.0008208580481146382,0.0003683866345813633,9.586667031228698e-12,4.022472775396443e-05,2.4201333357632547e-13,5.966829720940894e-07,7.223640833110952e-06,2.2690330880729598e-23,7.767723999989672e-07,4.381241450063473e-15,7.727296522140713e-06,1.087741714323228e-09,1.9939258955761873e-05,1.050718331107283e-13,8.689366741686343e-07,4.693926007310352e-10,5.5030457350437276e-14,1.449742327660246e-13,3.873283927623322e-10,1.0774258904051729e-09,2.733594100572958e-20,3.8512573697555576e-08,1.601057161921871e-07,6.397184394738999e-10,1.4238842156916724e-10,9.447772374434666e-24,2.2444230041522355e-08,2.7827512372625615e-11,1.555620841965237e-22,6.754178276863659e-10,9.500498495565263e-12,6.587381059699256e-09,1.8617015136275216e-11,0.7240376579428167,-1.0407210301793223e-53,6.341257618218108e-11,2.602628220013083e-07,4.101119698520144e-12,4.390004501576036e-07
0.041812499999999996,0.6197033033194814,438.94830403282333,0.0006260337794546831,5.3908143637137e-10,1.847097344376843e-08,0.20971260309471448,2.919604459694445e-07,0.010454547774719025,4.744520330572765e-05,2.374322582051602e-05,1.490373222106296e-23,2.1575268215106878e-18,1.4207302349456551e-11,1.014325755207546e-12,1.082015315963374e-06,0.050560897211075095,0.0033551168441491373,0.0018377243449715383,4.3654897301054666e-10,0.0001911807739390261,1.0675619787342623e-11,7.403917838441903e-06,3.6274955166411634e-05,2.8054267625224194e-19,3.718793482927312e-06,8.076404627365625e-13,3.7870978153194e-05,2.4357376625636695e-08,0.00010475869422102359,8.234881494875394e-12,4.8780475832737924e-06,2.6341254220961085e-09,2.8318408576647823e-13,4.945011775321068e-12,1.1253104609013834e-09,4.079496956016762e-09,8.73226489752068e-17,2.234972382651409e-07,6.245772291723348e-07,3.215648571469748e-09,5.793916524718926e-10,5.880885102138433e-20,1.1227436443700121e-07,1.4006309763787048e-10,1.419950836578698e-18,3.384585685952752e-09,4.760844991555762e-11,3.300940319854971e-08,9.503275153941553e-11,0.7229891815482468,-1.1191793779518795e-53,1.1508389047017961e-09,1.6957053446777143e-06,1.2044732504049451e-09,2.4962731192444903e-06
